time,el_price_eur_kwh,heat_demand_kw,PV_kw,COP,gas_price,solar_q_Wm2,cop_wshp,profil,solar_profil,cop_s_3
2025-07-06 10:00:00,0.01319,1.41,19.5,3.081260742187501,0.1199,0.0,3.668678853984877,0.1466579834068858,0.1466579834068858,3.709389990289439
2025-07-06 11:00:00,0.01026,3.02,18.1,3.0538999023437485,0.1199,0.0,3.6682456728536814,0.1232457119244348,0.1232457119244348,3.699103733488094
2025-07-06 12:00:00,0.0058499999999999,3.02,28.8,3.042812255859376,0.1199,0.0,3.667846745916867,0.127361740868049,0.127361740868049,3.7009079889276024
2025-07-06 13:00:00,0.0112,3.02,37.5,3.0295578613281258,0.1199,0.0,3.6673239059915743,0.092311836622305,0.092311836622305,3.6856000004011156
2025-07-06 14:00:00,0.05057,5.61,24.6,3.0255185546875007,0.1199,0.0,3.666814605524539,0.0903270662828501,0.0903270662828501,3.6847369428551704
2025-07-06 15:00:00,0.07077,5.61,19.0,3.023516601562501,0.1199,0.0,3.6662043982582175,0.0598683058434131,0.0598683058434131,3.6715427717856124
2025-07-06 16:00:00,0.10029,5.61,27.1,3.040018066406251,0.1199,0.0,3.6657626403998047,0.0957198125457235,0.0957198125457235,3.687082868153637
2025-07-06 17:00:00,0.10737,3.04,21.1,3.047403320312501,0.1199,0.0,3.665225209462197,0.0672517702178669,0.0672517702178669,3.6747324678842697
2025-07-06 18:00:00,0.11216,3.04,27.2,3.056807617187501,0.1199,0.0,3.664708698069192,0.0669603903240083,0.0669603903240083,3.674606485173301
2025-07-06 19:00:00,0.12032,3.04,29.8,3.041133789062501,0.1199,0.0,3.664011218951946,0.0163511797089121,0.0163511797089121,3.652855063567394
2025-07-06 20:00:00,0.12504,2.51,16.2,3.036856445312501,0.1199,0.0,3.6633125706765295,0.0088669490444611,0.0088669490444611,3.6496602402449083
2025-07-06 21:00:00,0.12221,2.51,12.5,3.028497070312501,0.1199,0.0,3.662607293757488,0.0,0.0,3.645882395469079
2025-07-06 22:00:00,0.11078,2.51,7.15,3.015323242187501,0.1199,0.0,3.661931058770061,0.0,0.0,3.645882395469079
2025-07-06 23:00:00,0.11884,3.23,0.9,3.015400146484376,0.1199,0.0,3.661282659798232,0.0,0.0,3.645882395469079
2025-07-07 00:00:00,0.10742,3.23,0.0,3.017560791015626,0.1199,0.0,3.660660941804219,0.0,0.0,3.645882395469079
2025-07-07 01:00:00,0.10192,3.23,0.0,3.0107785644531257,0.1199,0.0,3.660064798417472,0.0,0.0,3.645882395469079
2025-07-07 02:00:00,0.09912,2.75,0.0,3.014484619140626,0.1199,0.0,3.6594931698248674,0.0,0.0,3.645882395469079
2025-07-07 03:00:00,0.101,2.75,0.0,3.011664794921876,0.1199,0.0,3.658945040757098,0.0,0.0,3.645882395469079
2025-07-07 04:00:00,0.10822,2.75,0.0,3.007192138671876,0.1199,0.0,3.658423841061252,0.0011054169305685,0.0011054169305685,3.646352941674575
2025-07-07 05:00:00,0.1341999999999999,2.8,0.0,3.011675781250001,0.1199,0.0,3.6579974198302057,0.0195313136064257,0.0195313136064257,3.6542142738819137
2025-07-07 06:00:00,0.14367,2.8,0.0,3.013604492187501,0.1199,0.0,3.6576763088370416,0.0415894096163384,0.0415894096163384,3.663669962916093
2025-07-07 07:00:00,0.1522899999999999,2.8,0.0,3.030016845703126,0.1199,0.0,3.657882743795061,0.1708022818188989,0.1708022818188989,3.720057955647781
2025-07-07 08:00:00,0.13199,1.51,4.07,3.034162353515626,0.1199,0.0,3.6580603860101686,0.1656819203620613,0.1656819203620613,3.717790441334218
2025-07-07 09:00:00,0.10864,1.51,11.9,3.080955566406251,0.1199,0.2192675468251219,3.6591816489241937,0.4043938289036569,0.4043938289036569,3.8265277716625823
2025-07-07 10:00:00,0.10898,1.51,20.5,3.110525878906251,0.1199,0.2520735002188933,3.6603496108690297,0.4274247970030249,0.4274247970030249,3.837356163891208
2025-07-07 11:00:00,0.09024,0.67,39.3,3.109639648437501,0.1199,0.3224038018119692,3.661714320556316,0.4885139257333871,0.4885139257333871,3.866377345012084
2025-07-07 12:00:00,0.071,0.67,41.6,3.1192709960937486,0.1199,0.3656016303022867,3.6631667207635616,0.5241869078615019,0.5241869078615019,3.8835281661570997
2025-07-07 13:00:00,0.05302,0.67,49.1,3.145534423828126,0.1199,0.387042980093005,3.6646161393467,0.5380046550579806,0.5380046550579806,3.8902124028670215
2025-07-07 14:00:00,0.05067,0.09,76.9,3.170054687500001,0.1199,0.436315461633338,3.6661605032513664,0.576267599433343,0.576267599433343,3.9088424809485853
2025-07-07 15:00:00,0.05251,0.09,93.8,3.177395996093749,0.1199,0.4083539623961468,3.6675408123358895,0.5507237219870902,0.5507237219870902,3.8963855310315014
