,el_price_eur_kwh,heat_demand_kw,pv_power_kw,cop_t
147,0.00501,365.22,0.0,2.70378377278646
148,0.00513,402.21,0.0,2.6844417317708347
149,0.0058,402.21,0.0,2.664082438151043
150,0.04886,402.21,0.0,2.6940466308593765
151,0.07683,560.0,0.0,2.682087809244793
152,0.08508,560.0,0.0,2.6848527018229142
153,0.08424,560.0,0.1361389786506723,2.695460611979168
154,0.07525,577.0,0.4866581203403222,2.704562988281252
155,0.0628,577.0,0.5881591585803282,2.718904215494793
156,0.0624399999999999,577.0,0.6486935526561155,2.724307861328126
157,0.0639,542.0,0.843355539492169,2.707862955729168
158,0.07256,542.0,0.9906651855457986,2.661927897135418
159,0.07811,542.0,1.1694314244511699,2.6195837402343765
160,0.07998,455.39,0.03845062090695848,2.6012813313802097
161,0.09603,455.39,0.0,2.586067301432293
162,0.10111,455.39,0.0,2.560674641927085
163,0.08621,390.3,0.0,2.547010904947918
164,0.07801,390.3,0.0,2.5337805175781263
165,0.07245,390.3,0.0,2.511761067708335
166,0.07245,385.26,0.0,2.501348470052085
167,0.05004,385.26,0.0,2.495442301432293
168,0.07105,385.26,0.0,2.4828039550781265
169,0.06801,395.26,0.0,2.4717077636718763
170,0.06334,395.26,0.0,2.45983846028646
171,0.05701,395.26,0.0,2.4497941080729144
172,0.06629,439.27,0.0,2.45180623372396
173,0.07207,439.27,0.0,2.4559912109375017
174,0.0827,439.27,0.0,2.461643066406248
175,0.10073,590.4,0.0,2.4698197428385438
176,0.12822,590.4,0.0,2.4949621582031263
177,0.10818,590.4,0.37186488521612715,2.5300634765625016
178,0.09465,575.0,1.214425454592931,2.550506184895835
179,0.10001,575.0,1.0581403028983698,2.562526041666668
180,0.08999,575.0,1.412506024524238,2.570161539713543
181,0.0972,517.0,1.7643406506981385,2.5578405761718765
182,0.11019,517.0,1.7483681244179432,2.524600830078126
183,0.1278,517.0,2.987196828689832,2.4686214192708347
184,0.13582,445.38,0.06258129469391141,2.438486328125001
185,0.15546,445.38,0.0,2.421355794270835
186,0.14923,445.38,0.0,2.3947932942708348
187,0.14648,465.41,0.0,2.380867106119793
188,0.13686,465.41,0.0,2.36745564778646
189,0.12786,465.41,0.0,2.3583085123697933
190,0.11592,462.29,0.0,2.35128133138021
191,0.10359,462.29,0.0,2.344016113281252
192,0.10144,462.29,0.0,2.3359716796875016
193,0.1,474.3,0.0,2.3298722330729147
194,0.09877,474.3,0.0,2.322942708333335
195,0.09522,474.3,0.0,2.3144934082031265
196,0.09828,503.55,0.0,2.305240478515626
197,0.10265,503.55,0.0,2.29873006184896
198,0.13354,503.55,0.0,2.262347005208335
199,0.1488,659.0,0.0,2.25378377278646
200,0.16488,659.0,0.0,2.3095170084635432
201,0.15615,659.0,0.5501436856914269,2.3988175455729146
202,0.14764,676.0,1.8309056537722483,2.47624471028646
203,0.14021,676.0,3.1109607272977535,2.540740559895835
204,0.12818,676.0,4.031612480830325,2.58646199544271
205,0.12115,673.0,4.148584717145519,2.5899328613281263
206,0.12395,673.0,3.9724253972458117,2.5374792480468766
207,0.12753,673.0,3.9534346388929356,2.4553137207031264
208,0.12375,542.92,0.08630232355211699,2.407049153645835
209,0.13091,542.92,0.0,2.374566243489581
210,0.13475,542.92,0.0,2.3730627441406265
211,0.12544,470.13,0.0,2.356805013020835
212,0.11923,470.13,0.0,2.346079101562501
213,0.10499,470.13,0.0,2.334099934895835
214,0.1011,479.28,0.0,2.31990926106771
215,0.08819,479.28,0.0,2.3047074381510435
216,0.08479,479.28,0.0,2.287827148437501
217,0.08023,475.24,0.0,2.27501180013021
218,0.07129,475.24,0.0,2.267221679687501
219,0.06905,475.24,0.0,2.268776041666668
220,0.06989,509.62,0.0,2.2779882812500016
221,0.0839,509.62,0.0,2.289084472656248
222,0.09909,509.62,0.0,2.2779943847656265
223,0.12392,680.0,0.0,2.28166463216146
224,0.13947,680.0,0.0,2.36182820638021
225,0.13692,680.0,0.5168794452894258,2.4670324707031264
226,0.12357,663.0,1.476884418050991,2.547267252604168
227,0.11359,663.0,2.313863762719099,2.5945654296875014
228,0.10743,663.0,2.2004951069271295,2.6296769205729142
229,0.10501,602.67,2.6042584858993214,2.6435176595052097
230,0.11001,602.67,2.8381423846218325,2.5965958658854182
231,0.12869,602.67,3.358815908075281,2.515056966145835
232,0.13487,528.08,0.08405266089416351,2.4622819010416683
233,0.14256,528.08,0.0,2.4221126302083347
234,0.14412,528.08,0.0,2.380179443359377
235,0.14105,514.27,0.0,2.352996419270835
236,0.13482,514.27,0.0,2.3331762695312515
237,0.12251,514.27,0.0,2.335652262369793
238,0.11977,498.24,0.0,2.35762898763021
239,0.1117099999999999,498.24,0.0,2.368855387369793
240,0.10664,498.24,0.0,2.368291829427085
241,0.09899,503.27,0.0,2.37741658528646
242,0.0957099999999999,503.27,0.0,2.393743489583335
243,0.08945,503.27,0.0,2.36989705403646
244,0.08835,498.23,0.0,2.28085896809896
245,0.0884,498.23,0.0,2.2663366699218765
246,0.08813,498.23,0.0,2.2858902994791683
247,0.09468,521.2,0.0,2.271404622395835
248,0.10765,521.2,0.0,2.3212906901041683
249,0.10314,521.2,0.5659040986255962,2.45808064778646
250,0.10113,501.27,1.7058726643472988,2.55683553059896
251,0.09956,501.27,2.8826745505425344,2.6252823893229142
252,0.0967399999999999,501.27,3.681342670906174,2.6596553548177098
253,0.09315,521.19,3.7742486170692966,2.654536539713543
254,0.0949,521.19,3.5576143742425668,2.5943070475260432
255,0.10489,521.19,3.378968646798517,2.5070979817708348
256,0.11212,521.2,0.09137230376080543,2.4608719889322934
257,0.1198,521.2,0.0,2.41007039388021
258,0.12234,521.2,0.0,2.4129248046875014
259,0.11485,499.29,0.0,2.4391333007812515
260,0.11119,499.29,0.0,2.4386368815104182
261,0.1047999999999999,499.29,0.0,2.4557897949218765
262,0.10307,496.49,0.0,2.4800268554687515
263,0.1056899999999999,496.49,0.0,2.504241536458335
264,0.08358,496.49,0.0,2.5133744303385432
265,0.08379,498.26,0.0,2.5066503906250013
266,0.08675,498.26,0.0,2.495161539713543
267,0.0842,498.26,0.0,2.52581746419271
268,0.085,501.26,0.0,2.548683268229168
269,0.08375,501.26,0.0,2.5478796386718763
270,0.0859,501.26,0.0,2.5386836751302098
271,0.10175,494.27,0.0,2.542402750651043
272,0.11467,494.27,0.0,2.59449422200521
273,0.12007,494.27,0.20980546650629045,2.6371435546875013
274,0.11777,473.28,0.5775625559993876,2.652475585937501
275,0.10561,473.28,0.785271381040985,2.6698543294270847
276,0.10299,473.28,0.8136449872195809,2.6905920410156265
277,0.09961,452.54,1.0279460800377807,2.6866735839843763
278,0.10474,452.54,0.6208296671816521,2.67579305013021
279,0.1187,452.54,0.26752032157352096,2.650679117838543
280,0.1329199999999999,464.28,0.008713284823368724,2.63774373372396
281,0.141,464.28,0.0,2.63370320638021
282,0.1466599999999999,464.28,0.0,2.6538264973958348
283,0.14366,473.29,0.0,2.6533992513020848
284,0.13486,473.29,0.0,2.663638916015626
285,0.12749,473.29,0.0,2.6626501464843764
286,0.1212,490.53,0.0,2.6498490397135432
287,0.1149,490.53,0.0,2.6635900878906265
288,0.11239,490.53,0.0,2.665512695312501
289,0.10507,529.29,0.0,2.652329101562501
290,0.10446,529.29,0.0,2.6603613281250014
291,0.10037,529.29,0.0,2.6742956542968765
292,0.1,579.43,0.0,2.693546142578126
293,0.11011,579.43,0.0,2.691890055338543
294,0.14028,579.43,0.0,2.6989375813802097
295,0.18192,834.0,0.0,2.706687011718752
296,0.22309,834.0,0.0,2.738722330729168
297,0.17409,834.0,0.1648943314657335,2.785770263671876
298,0.14169,801.0,0.45677513424206395,2.8451311035156275
299,0.11573,801.0,0.7049737390388231,2.8688798828125024
300,0.1041,801.0,0.6403533047176112,2.893199951171878
301,0.10304,707.03,0.6116254951378604,2.8830119628906274
302,0.10467,707.03,0.4384887189982436,2.8376530761718777
303,0.1382,707.03,0.21152595861451462,2.793460693359376
304,0.14262,605.39,0.0,2.7782283528645846
305,0.149,605.39,0.0,2.761905517578126
306,0.149,605.39,0.0,2.6936214192708348
307,0.13973,559.26,0.0,2.684551595052085
308,0.12318,559.26,0.0,2.6815852864583345
309,0.12022,559.26,0.0,2.673878580729168
310,0.1155699999999999,577.22,0.0,2.669353841145835
311,0.10231,577.22,0.0,2.6550817871093764
312,0.10638,577.22,0.0,2.6523819986979182
313,0.1037,612.23,0.0,2.64326131184896
314,0.09908,612.23,0.0,2.6475398763020848
315,0.09799,612.23,0.0,2.654634195963543
316,0.10188,685.02,0.0,2.6562556966145845
317,0.10764,685.02,0.0,2.656587320963543
318,0.1234,685.02,0.0,2.6588313802083348
319,0.15662,878.9,0.0,2.653962809244793
320,0.18403,878.9,0.0,2.6615515136718764
321,0.15186,878.9,0.07261035934000844,2.681949462890626
322,0.11762,819.0,0.35102600329379774,2.6939632161458347
323,0.10931,819.0,0.4192305650896054,2.70925252278646
324,0.10311,819.0,0.4744348225892755,2.7280859375000013
325,0.10811,637.12,0.5262324369381194,2.7191137695312517
326,0.11535,637.12,0.3420006495158126,2.7027522786458347
